C7057|Disease, Disorder or Finding
C3367|Finding
C142433|Clinical Outcomes Assessment Concept of Interest
C34808|Mass
C35155|Adnexal Mass
C35409|Adrenal Mass
C39808|Asymptomatic Mass
C36176|Bilateral Mass
C35403|Appendix Mass
C35289|Axillary Mass
C35509|Brain Mass
C3197|Breast Lump
C42081|Cauliflower-Like Mass
C35291|Buttock Mass
C35511|Endocervical Mass
C39661|Chest Wall Mass
C35490|Esophageal Mass
C35514|Flank Mass
C36183|Firm Mass
C61463|Fetiform Mass
C45978|Fungating Mass
C35294|Hepatic Mass
C36168|Hormone Responsive Mass
C35293|Inguinal Mass
C39663|Intrauterine Mass
C62217|Large Mass
C35290|Mass of the Back
C35521|Lymph Node Mass
C35295|Mediastinal Mass
C36188|Multinodular Mass
C36112|Metastatic Mass
C35160|Neck Mass
C48902|Painful Mass
C36111|Non-Metastatic Mass
C35520|Nasal Mass
C3882|Ovarian Mass
C45693|Pleural Mass
C42584|Ossified Mass
C83474|Polyp Tip
C41432|Pseudoencapsulated Mass
C36103|Rapidly Enlarging Mass
C35306|Renal Mass
C41051|Solitary Mass
C36166|Resectable Mass
C36167|Resected Mass
C94538|Spiculated Mass
C98275|Tumor Mass
C36165|Unresectable Mass
C61597|Vaginal Mass
C48898|Painless Mass
C61382|Painless Testicular Mass
C48586|Slow Growing Painless Mass
C36108|Encapsulated Mass
C55829|Partially Encapsulated Mass
C35159|Pulmonary Mass
C35510|Endobronchial Mass
C35495|Hilar Mass
C41458|Slow Growing Mass
C61394|Testicular Mass
C34333|Abdominal Mass
C35494|Epigastric Mass
C35491|Stomach Mass
C37903|Intestinal Mass
C39612|Intestinal Ulcerated Mass
C37904|Colonic Mass
C35461|Clinical Course of Disease
C39760|Above the Diaphragm Disease
C36157|Acute Clinical Course
C36155|Accelerated Phase of Disease
C36104|Aggressive Clinical Course
C39761|Below the Diaphragm Disease
C36158|Chronic Clinical Course
C39786|Bilateral Disease
C36154|Chronic Phase of Disease
C50526|Decreased Therapeutic Response
C39767|Contiguous Disease
C126361|Disease Sequela
C82500|Disease Controlled
C8503|Evaluable Disease
C39625|Extracutaneous Dissemination of Disease
C39695|Extranodal Disease
C42601|Extraocular Dissemination of Disease
C36105|Indolent Clinical Course
C36156|Favorable Clinical Outcome
C50611|Increased Therapeutic Response
C113680|Flare-up
C143015|Inoperable Disease
C8507|Measurable Disease
C36163|Metastatic/Recurrent Disease
C43258|Multifocal Unisystem Disease
C103420|New Lesion Progression
C113242|Minimal Disseminated Disease
C40413|No Evidence of Disease
C48558|No Evidence of Metastatic Disease
C7919|No Measurable or Evaluable Disease
C39768|Non-Contiguous Disease
C128998|Partial Response with Lymphocytosis
C103422|Nodular Partial Response
C90169|Persistent Disease
C46067|Presymptomatic Cancer
C39752|Refractory Disease
C41844|Regional Disease
C102864|Significant Intercurrent Illness
C9228|Terminal Disease
C40561|Transformed Phase of Disease
C38674|Widespread Disease
C38328|Unfavorable Clinical Outcome
C54095|Aggravated Disease
C103143|Exacerbation of cGVHD
C49493|Clinical Course General
C49498|Recovered or Resolved
C49495|Recovered or Resolved with Sequelae
C85257|Recovered or Resolved without Sequelae
C49494|Not Recovered or Not Resolved
C36159|Progressive Clinical Course
C43228|Rapidly Progressive Clinical Course
C115461|Slowly Progressive Clinical Course
C36160|Newly Diagnosed Disease
C115269|Newly Diagnosed Carcinoma of Unknown Primary Origin
C115270,C8578,C9092,C3017|Ependymoma
C4809|Residual Disease
C3896|Minimal Residual Disease
C9229|Systemic Disease
C43259|Multifocal Multisystem Disease
C115158|Nephrogenic Systemic Fibrosis
C18213|Stable Disease
C111086|Modified Overall Immune Related Response Criterion, Stable Disease
C103142|Stable cGVHD
C70642|Stable Multiple Myeloma or Plasma Cell Leukemia
C36162|Localized Disease
C43257|Unifocal Disease
C43285|Unifocal Disease at Presentation
C50995|Disease Response
C123571|Absent Morphologic Response
C132455|Bone Response
C123572|CA125 50% Response
C94536|Best Overall Response
C123574|Clinical Complete Response
C123619|Clinical Response
C123576|Clinical Partial Response
C123573|CA125 75% Response
C123908|Clinical Relapse of Multiple Myeloma or Plasma Cell Leukemia by IMWG
C124427|Complete Minimal Residual Disease Response
C123577|Complete Response by Computed Tomography
C103312|Complete Response in Neuroblastoma
C103139|Complete Response in cGVHD
C70603|Continued Complete Response
C123578|Cytogenetic Complete Response
C123579|Cytogenetic Minimal Response
C123581|Cytogenetic No Response
C123580|Cytogenetic Minor Response
C135482|Disease Response in Spleen
C123582|Cytogenetic Partial Response
C135479|Disease Response in Liver
C115019|Exceptional Response
C123585|Hematologic Improvement-Erythroid Response
C123586|Hematologic Improvement-Neutrophil Response
C123584|Favorable Response
C123587|Hematologic Improvement-Platelet Response
C123588|Immunophenotypic Complete Response
C123622|Hematologic Response
C123591|Marrow Complete Response
C123589|Indeterminate Response
C142131|Increasing Levels of Minimal Residual Disease
C123590|Major Pathologic Response
C123623|Metabolic Response
C103141|Less Than Partial Response in cGVHD
C124428|Minimal Residual Disease Negativity
C124429|Minimal Residual Disease Persistence
C124433|Minimal Residual Disease Response
C124430|Minimal Residual Disease Relapse
C123592|Minor Pathologic Response
C111788|Minimal Response of Multiple Myeloma
C103315|Mixed Response in Neuroblastoma
C103146|Mixed Response in cGVHD
C123594|Molecular Major Response
C123593|Molecular Complete Response
C123596|Morphologic Complete Remission with Incomplete Blood Count Recovery
C123624|Molecular Response
C123600|No Response
C123595|Morphologic Complete Response
C123625|Morphologic Response
C103314|No Response in Neuroblastoma
C123599|Non Progressive Disease
C123597|Morphologic Leukemia-Free State
C124431|Non-Quantifiable Minimal Residual Disease Positivity
C135480|Non-Target Enhancing Lesion Response
C135481|Non-Target Non-Enhancing Lesion Response
C123601|Optimal Morphologic Response
C96613|Overall Response
C96700|Non Complete Response/Non Progressive Disease
C142361|Non iRECIST Complete Response-Non iRECIST Unconfirmed Progressive Disease
C123602|Partial Morphologic Response
C123610|Partial Response by Computed Tomography
C103313|Partial Response in Neuroblastoma
C123609|Partial Metabolic Response
C123603|Pathologic Complete Response
C103140|Partial Response in cGVHD
C123626|Pathologic Response
C126055|Present Without Unequivocal Progression
C70604|Primary Refractory
C123604|Progression from Partial Response
C70622|Primary Induction Failure
C70643|Progression of Multiple Myeloma or Plasma Cell Leukemia
C123608|Progressive Metabolic Disease
C123606|Progressive Disease by Computed Tomography
C123627|Radiologic Response
C124432|Quantifiable Minimal Residual Disease Positivity
C123605|Progression or Relapse After Hematologic Improvement
C70645|Relapse from Complete Response of Multiple Myeloma or Plasma Cell Leukemia
C123613|Relapsed Disease From Complete or Partial Response
C94535|Response in Non-Target Lesion
C94534|Response in Target Lesion
C123616|Stable Metabolic Disease
C123612|Relapsed Disease From Complete Response
C123614|Stringent Complete Response
C132457|Soft Tissue Response
C70637|Stringent Complete Response (sCR) of Multiple Myeloma or Plasma Cell Leukemia
C123615|Stable Disease by Computed Tomography
C123628|Tumor Antigen Response
C123607|Unconfirmed Progressive Disease
C132458|Tumor Marker Response
C124434|Symptomatic Deterioration
C103311|Very Good Partial Response in Neuroblastoma
C142357|iRECIST Complete Response
C142356|iRECIST Confirmed Progressive Disease
C123618|Very Good Partial Response
C123617|Unfavorable Response
